property_address,property_ward,violation_fire_code,violation_description,number_of_violations
85 Lawton Blvd,NA,1.1.2.1./6.3.3.8.,1.1.2.1./6.3.3.8. - Records of Test (Smoke Alarms),24
85 Lawton Blvd,NA,1.1.2.1./6.4.3.2.,1.1.2.1./6.4.3.2. Records of Test (Standpipe - Hydrostatic),24
85 Lawton Blvd,NA,1.1.2.1./6.6.3.5.,1.1.2.1./6.6.3.5. Records of Test (Fire Pump),24
85 Lawton Blvd,NA,2.2.2.1,2.2.2.1 Damaged fire separations,24
85 Lawton Blvd,NA,2.2.3.2,2.2.3.2 Maintenance of closures,24
85 Lawton Blvd,NA,6.5.1.8,6.5.1.8 Records,24
85 Lawton Blvd,NA,9.6.2.6,9.6.2.6 Protection of openings in fire separations,24
68 Merton St,NA,1.1.2.1./2.7.3.3.(3),1.1.2.1./2.7.3.3.(3) Records of Test (Emergency Lighting),28
68 Merton St,NA,1.1.2.1./6.2.7.5.,1.1.2.1./6.2.7.5. Records of Test (Fire Extinguishers),28
68 Merton St,NA,1.1.2.1./6.3.2.2.,1.1.2.1./6.3.2.2. Records of Test (Fire Alarm),28
68 Merton St,NA,1.1.2.1./6.3.2.4.,1.1.2.1./6.3.2.4. Records of Test (Voice Communication),28
68 Merton St,NA,1.1.2.1./6.3.2.6.,1.1.2.1./6.3.2.6. Records of Test (Smoke Alarms),28
68 Merton St,NA,1.1.2.1./6.4.3.3.,1.1.2.1./6.4.3.3. Records of Test (Standpipe - FD Connection),28
68 Merton St,NA,1.1.2.1./6.6.3.5.,1.1.2.1./6.6.3.5. Records of Test (Fire Pump),28
68 Merton St,NA,1.1.2.1./6.7.1.1.,1.1.2.1./6.7.1.1. Records of Test (Emergency Power Systems),28
68 Merton St,NA,2.2.3.2,2.2.3.2 Maintenance of closures,28
68 Merton St,NA,2.4.1.1,2.4.1.1 Accumulation of combustible materials,28
68 Merton St,NA,6.2.1.2,6.2.1.2 Maintenance,28
68 Merton St,NA,6.2.4.1,6.2.4.1 Where portable extinguishers required,28
68 Merton St,NA,6.2.4.3,6.2.4.3 Distance above floor,28
68 Merton St,NA,6.5.1.5 (1),6.5.1.5 (1) Obstructions,28
68 Merton St,NA,6.5.1.8,6.5.1.8 Records,28
619 Avenue Rd,NA,2.16.2.1,2.16.2.1 Installation requirements,14
619 Avenue Rd,NA,2.2.2.1,2.2.2.1 Damaged fire separations,14
619 Avenue Rd,NA,2.2.3.1,2.2.3.1 Damaged closures,14
619 Avenue Rd,NA,2.2.3.2,2.2.3.2 Maintenance of closures,14
619 Avenue Rd,NA,2.2.3.3,2.2.3.3 Operation of closures,14
619 Avenue Rd,NA,2.2.3.4,2.2.3.4 Door in a fire separation,14
619 Avenue Rd,NA,2.4.1.1,2.4.1.1 Accumulation of combustible materials,14
619 Avenue Rd,NA,6.4.3.7,6.4.3.7. Fire Department Connections,14
212 Eglinton Ave E,NA,2.2.3.2,2.2.3.2 Maintenance of closures,11
212 Eglinton Ave E,NA,2.4.1.3,2.4.1.3 Waste receptacles,11
212 Eglinton Ave E,NA,6.4.3.7,6.4.3.7. Fire Department Connections,11
260 Heath St W,NA,1.1.2.1./2.7.3.3.(3),1.1.2.1./2.7.3.3.(3) Records of Test (Emergency Lighting),21
260 Heath St W,NA,1.1.2.1./6.2.7.5.,1.1.2.1./6.2.7.5. Records of Test (Fire Extinguishers),21
260 Heath St W,NA,1.1.2.1./6.3.2.2.,1.1.2.1./6.3.2.2. Records of Test (Fire Alarm),21
260 Heath St W,NA,1.1.2.1./6.3.2.4.,1.1.2.1./6.3.2.4. Records of Test (Voice Communication),21
260 Heath St W,NA,1.1.2.1./6.3.2.6.,1.1.2.1./6.3.2.6. Records of Test (Smoke Alarms),21
260 Heath St W,NA,1.1.2.1./6.4.3.2.,1.1.2.1./6.4.3.2. Records of Test (Standpipe - Hydrostatic),21
260 Heath St W,NA,1.1.2.1./6.6.3.5.,1.1.2.1./6.6.3.5. Records of Test (Fire Pump),21
260 Heath St W,NA,1.1.2.1./6.7.1.1.,1.1.2.1./6.7.1.1. Records of Test (Emergency Power Systems),21
260 Heath St W,NA,2.2.2.1,2.2.2.1 Damaged fire separations,21
260 Heath St W,NA,2.2.3.2,2.2.3.2 Maintenance of closures,21
260 Heath St W,NA,2.4.1.3,2.4.1.3 Waste receptacles,21
260 Heath St W,NA,6.3.1.4,6.3.1.4 Fire Alarm Maintenance,21
260 Heath St W,NA,6.4.3.7,6.4.3.7. Fire Department Connections,21
260 Heath St W,NA,6.5.1.1,"6.5.1.1 Repair, replacement, alterations, inspection, testing and maintenance",21
260 Heath St W,NA,6.5.1.5 (1),6.5.1.5 (1) Obstructions,21
260 Heath St W,NA,6.5.1.8,6.5.1.8 Records,21
123 Eglinton Ave E,NA,2.2.3.2,2.2.3.2 Maintenance of closures,6
123 Eglinton Ave E,NA,2.4.1.3,2.4.1.3 Waste receptacles,6
123 Eglinton Ave E,NA,6.5.1.5 (1),6.5.1.5 (1) Obstructions,6
123 Eglinton Ave E,NA,7.2.5.1,7.2.5.1 Maintenance of certain fire emergency systems,6
4029 Old Dundas St,4,1.1.1.2,"1.1.1.2 Check, inspect and test",23
70 Delisle Ave,NA,2.2.3.2,2.2.3.2 Maintenance of closures,6
70 Delisle Ave,NA,6.5.1.1,"6.5.1.1 Repair, replacement, alterations, inspection, testing and maintenance",6
253 Merton St,NA,1.1.2.1./6.7.1.1.,1.1.2.1./6.7.1.1. Records of Test (Emergency Power Systems),4
253 Merton St,NA,2.2.2.1,2.2.2.1 Damaged fire separations,4
253 Merton St,NA,2.2.3.2,2.2.3.2 Maintenance of closures,4
253 Merton St,NA,6.4.3.7,6.4.3.7. Fire Department Connections,4
260 Merton St,NA,1.1.2.1./6.7.1.1.,1.1.2.1./6.7.1.1. Records of Test (Emergency Power Systems),28
260 Merton St,NA,2.16.2.1,2.16.2.1 Installation requirements,28
260 Merton St,NA,2.2.2.1,2.2.2.1 Damaged fire separations,28
260 Merton St,NA,2.2.3.1,2.2.3.1 Damaged closures,28
260 Merton St,NA,2.2.3.2,2.2.3.2 Maintenance of closures,28
260 Merton St,NA,6.4.3.7,6.4.3.7. Fire Department Connections,28
260 Merton St,NA,6.5.1.5 (1),6.5.1.5 (1) Obstructions,28
95 Lawton Blvd,NA,1.1.2.1./6.4.3.2.,1.1.2.1./6.4.3.2. Records of Test (Standpipe - Hydrostatic),15
95 Lawton Blvd,NA,1.1.2.1./6.6.3.5.,1.1.2.1./6.6.3.5. Records of Test (Fire Pump),15
95 Lawton Blvd,NA,2.1.2.2,2.1.2.2 Hazardous activities,15
95 Lawton Blvd,NA,2.2.2.1,2.2.2.1 Damaged fire separations,15
95 Lawton Blvd,NA,2.2.3.2,2.2.3.2 Maintenance of closures,15
95 Lawton Blvd,NA,6.3.1.4,6.3.1.4 Fire Alarm Maintenance,15
95 Lawton Blvd,NA,6.5.1.8,6.5.1.8 Records,15
60 Holly St,NA,2.2.3.2,2.2.3.2 Maintenance of closures,1
19 Lower Village Gt,NA,1.1.2.1./6.7.1.1.,1.1.2.1./6.7.1.1. Records of Test (Emergency Power Systems),10
19 Lower Village Gt,NA,2.16.2.1,2.16.2.1 Installation requirements,10
19 Lower Village Gt,NA,2.2.2.1,2.2.2.1 Damaged fire separations,10
19 Lower Village Gt,NA,2.2.3.1,2.2.3.1 Damaged closures,10
19 Lower Village Gt,NA,2.2.3.2,2.2.3.2 Maintenance of closures,10
19 Lower Village Gt,NA,6.3.1.8,6.3.1.8 Repairs and alterations to fire alarm systems,10
19 Lower Village Gt,NA,6.5.1.1,"6.5.1.1 Repair, replacement, alterations, inspection, testing and maintenance",10
19 Lower Village Gt,NA,7.2.5.1,7.2.5.1 Maintenance of certain fire emergency systems,10
155 Balliol St,NA,2.2.2.1,2.2.2.1 Damaged fire separations,20
155 Balliol St,NA,2.2.3.1,2.2.3.1 Damaged closures,20
155 Balliol St,NA,2.2.3.2,2.2.3.2 Maintenance of closures,20
155 Balliol St,NA,2.4.1.1,2.4.1.1 Accumulation of combustible materials,20
155 Balliol St,NA,2.8.2.1,2.8.2.1 Measures in a fire safety plan,20
155 Balliol St,NA,6.3.4.3,6.3.4.3 Duty to maintain in operating condition,20
155 Balliol St,NA,6.5.1.5,6.5.1.5 Obstructions,20
89 Dunfield Ave,NA,1.1.2.1./2.7.3.3.(3),1.1.2.1./2.7.3.3.(3) Records of Test (Emergency Lighting),27
89 Dunfield Ave,NA,1.1.2.1./6.2.7.5.,1.1.2.1./6.2.7.5. Records of Test (Fire Extinguishers),27
89 Dunfield Ave,NA,1.1.2.1./6.3.2.4.,1.1.2.1./6.3.2.4. Records of Test (Voice Communication),27
89 Dunfield Ave,NA,1.1.2.1./6.3.3.8.,1.1.2.1./6.3.3.8. - Records of Test (Smoke Alarms),27
89 Dunfield Ave,NA,1.1.2.1./6.7.1.1.,1.1.2.1./6.7.1.1. Records of Test (Emergency Power Systems),27
89 Dunfield Ave,NA,1.1.2.1./7.2.2.1.,1.1.2.1./7.2.2.1. Records of Test (Elevator),27
89 Dunfield Ave,NA,2.2.3.2,2.2.3.2 Maintenance of closures,27
89 Dunfield Ave,NA,2.2.3.3,2.2.3.3 Operation of closures,27
89 Dunfield Ave,NA,2.4.1.1,2.4.1.1 Accumulation of combustible materials,27
89 Dunfield Ave,NA,2.8.2.5 (3),2.8.2.5 (3) Posting fire emergency procedures,27
89 Dunfield Ave,NA,2.8.2.5 (3),2.8.2.5 (3) Posting fire emergency procedures,27
89 Dunfield Ave,NA,6.3.1.8,6.3.1.8 Repairs and alterations to fire alarm systems,27
89 Dunfield Ave,NA,6.5.1.1,"6.5.1.1 Repair, replacement, alterations, inspection, testing and maintenance",27
89 Dunfield Ave,NA,6.5.1.1,"6.5.1.1 Repair, replacement, alterations, inspection, testing and maintenance",27
89 Dunfield Ave,NA,6.5.1.5 (1),6.5.1.5 (1) Obstructions,27
89 Dunfield Ave,NA,6.6.5.2,6.6.5.2 Hydrants,27
89 Dunfield Ave,NA,6.6.5.2,6.6.5.2 Hydrants,27
89 Dunfield Ave,NA,9.6.2.16,9.6.2.16 Smoke control measures,27
89 Dunfield Ave,NA,9.6.2.6,9.6.2.6 Protection of openings in fire separations,27
89 Dunfield Ave,NA,9.6.2.6,9.6.2.6 Protection of openings in fire separations,27
23 Glebe Rd W,NA,1.1.2.1./2.7.3.3.(3),1.1.2.1./2.7.3.3.(3) Records of Test (Emergency Lighting),18
23 Glebe Rd W,NA,1.1.2.1./6.2.7.5.,1.1.2.1./6.2.7.5. Records of Test (Fire Extinguishers),18
23 Glebe Rd W,NA,1.1.2.1./6.3.2.2.,1.1.2.1./6.3.2.2. Records of Test (Fire Alarm),18
23 Glebe Rd W,NA,1.1.2.1./6.3.2.4.,1.1.2.1./6.3.2.4. Records of Test (Voice Communication),18
23 Glebe Rd W,NA,1.1.2.1./6.3.3.8.,1.1.2.1./6.3.3.8. - Records of Test (Smoke Alarms),18
23 Glebe Rd W,NA,1.1.2.1./6.4.3.2.,1.1.2.1./6.4.3.2. Records of Test (Standpipe - Hydrostatic),18
23 Glebe Rd W,NA,1.1.2.1./6.6.3.5.,1.1.2.1./6.6.3.5. Records of Test (Fire Pump),18
23 Glebe Rd W,NA,1.1.2.1./6.7.1.1.,1.1.2.1./6.7.1.1. Records of Test (Emergency Power Systems),18
23 Glebe Rd W,NA,2.2.3.2,2.2.3.2 Maintenance of closures,18
23 Glebe Rd W,NA,6.5.1.8,6.5.1.8 Records,18
23 Glebe Rd W,NA,6.5.1.8,6.5.1.8 Records,18
240 Heath St W,NA,2.2.2.1,2.2.2.1 Damaged fire separations,4
240 Heath St W,NA,2.2.3.2,2.2.3.2 Maintenance of closures,4
240 Heath St W,NA,2.4.1.1,2.4.1.1 Accumulation of combustible materials,4
240 Heath St W,NA,2.7.3.2 (1),2.7.3.2 (1) Exit Signs,4
150 Heath St W,NA,1.1.2.1./2.7.3.3.(3),1.1.2.1./2.7.3.3.(3) Records of Test (Emergency Lighting),28
150 Heath St W,NA,1.1.2.1./6.2.7.5.,1.1.2.1./6.2.7.5. Records of Test (Fire Extinguishers),28
150 Heath St W,NA,1.1.2.1./6.3.2.2.,1.1.2.1./6.3.2.2. Records of Test (Fire Alarm),28
150 Heath St W,NA,1.1.2.1./6.3.2.6.,1.1.2.1./6.3.2.6. Records of Test (Smoke Alarms),28
150 Heath St W,NA,1.1.2.1./6.4.3.2.,1.1.2.1./6.4.3.2. Records of Test (Standpipe - Hydrostatic),28
150 Heath St W,NA,1.1.2.1./6.6.3.5.,1.1.2.1./6.6.3.5. Records of Test (Fire Pump),28
150 Heath St W,NA,1.1.2.1./6.7.1.1.,1.1.2.1./6.7.1.1. Records of Test (Emergency Power Systems),28
150 Heath St W,NA,2.2.2.1,2.2.2.1 Damaged fire separations,28
150 Heath St W,NA,2.2.3.2,2.2.3.2 Maintenance of closures,28
150 Heath St W,NA,2.4.1.3,2.4.1.3 Waste receptacles,28
150 Heath St W,NA,6.4.3.7,6.4.3.7. Fire Department Connections,28
150 Heath St W,NA,6.5.1.1,"6.5.1.1 Repair, replacement, alterations, inspection, testing and maintenance",28
150 Heath St W,NA,6.5.1.8,6.5.1.8 Records,28
150 Heath St W,NA,6.5.6.5 (5),6.5.6.5 (5) Spare sprinkler heads,28
150 Heath St W,NA,9.6.2.6,9.6.2.6 Protection of openings in fire separations,28
80 Cosburn Ave,NA,1.1.2.3./6.5.5.3.,1.1.2.3./6.5.5.3. Records of Test (Water Flow Test),4
80 Cosburn Ave,NA,2.2.3.1,2.2.3.1 Damaged closures,4
227 Cosburn Ave,NA,1.1.2.3,1.1.2.3  (Do Not Use),4
227 Cosburn Ave,NA,1.1.2.3,1.1.2.3  (Do Not Use),4
655 Broadview Ave,NA,2.2.3.1,2.2.3.1 Damaged closures,14
655 Broadview Ave,NA,2.2.3.2,2.2.3.2 Maintenance of closures,14
655 Broadview Ave,NA,2.2.3.3,2.2.3.3 Operation of closures,14
655 Broadview Ave,NA,2.7.2.2,"2.7.2.2 Requirements for locking, latching and fastening devices",14
221 Balliol St,NA,2.2.2.1,2.2.2.1 Damaged fire separations,14
221 Balliol St,NA,2.2.3.2,2.2.3.2 Maintenance of closures,14
221 Balliol St,NA,2.2.3.3,2.2.3.3 Operation of closures,14
221 Balliol St,NA,2.4.1.1,2.4.1.1 Accumulation of combustible materials,14
221 Balliol St,NA,9.6.3.6,9.6.3.6 Exit signs,14
145 Cosburn Ave,NA,1.1.1.2,"1.1.1.2 Check, inspect and test",5
145 Cosburn Ave,NA,2.2.3.1,2.2.3.1 Damaged closures,5
50 Cambridge Ave,NA,2.7.3.2 (1),2.7.3.2 (1) Exit Signs,5
50 Cambridge Ave,NA,6.5.4.5,6.5.4.5 Sprinkler control valves,5
319 Carlaw Ave,NA,2.2.3.1,2.2.3.1 Damaged closures,5
140 Elm Ridge Dr,8,1.1.2.1./6.3.2.2.,1.1.2.1./6.3.2.2. Records of Test (Fire Alarm),20
140 Elm Ridge Dr,8,1.1.2.3./6.7.1.1.,1.1.2.3./6.7.1.1. Records of Test (Emergency Power Systems),20
140 Elm Ridge Dr,8,1.1.2.3./7.2.2.1.,1.1.2.3./7.2.2.1. Records of Test (Elevator),20
140 Elm Ridge Dr,8,2.8.2.1,2.8.2.1 Measures in a fire safety plan,20
140 Elm Ridge Dr,8,6.3.1.4,6.3.1.4 Fire Alarm Maintenance,20
140 Elm Ridge Dr,8,6.5.3.4,6.5.3.4 Sprinkler heads,20
31 Princess St,NA,6.2.1.2,6.2.1.2 Maintenance,12
31 Princess St,NA,6.3.1.4,6.3.1.4 Fire Alarm Maintenance,12
31 Princess St,NA,6.4.1.2,6.4.1.2 Testing,12
31 Princess St,NA,6.5.1.2,"6.5.1.2 Repair, replacement, alterations, inspection, testing and maintenance",12
25 Stong Crt,7,2.2.3.2,2.2.3.2 Maintenance of closures,1
10 Markbrook Lane,1,1.1.2.1./2.7.3.3.(3),1.1.2.1./2.7.3.3.(3) Records of Test (Emergency Lighting),8
10 Markbrook Lane,1,1.1.2.1./6.2.7.5.,1.1.2.1./6.2.7.5. Records of Test (Fire Extinguishers),8
10 Markbrook Lane,1,1.1.2.1./6.3.2.2.,1.1.2.1./6.3.2.2. Records of Test (Fire Alarm),8
10 Markbrook Lane,1,1.1.2.1./6.4.3.8.,1.1.2.1./6.4.3.8. Records of Test (Standpipe - Hotels),8
10 Markbrook Lane,1,1.1.2.1./6.5.5.2.,1.1.2.1./6.5.5.2. Records of Test (Sprinkler Alarm Test),8
51 Parkwoods Village Dr,NA,1.1.2.1./6.3.2.2.,1.1.2.1./6.3.2.2. Records of Test (Fire Alarm),36
51 Parkwoods Village Dr,NA,1.1.2.1./7.2.2.1.,1.1.2.1./7.2.2.1. Records of Test (Elevator),36
51 Parkwoods Village Dr,NA,2.2.2.1,2.2.2.1 Damaged fire separations,36
51 Parkwoods Village Dr,NA,2.2.3.2,2.2.3.2 Maintenance of closures,36
51 Parkwoods Village Dr,NA,6.5.1.5 (1),6.5.1.5 (1) Obstructions,36
1780 Eglinton Ave E,NA,2.2.2.1,2.2.2.1 Damaged fire separations,25
1780 Eglinton Ave E,NA,2.2.3.2,2.2.3.2 Maintenance of closures,25
1780 Eglinton Ave E,NA,2.8.2.5 (1),2.8.2.5 (1) Posting fire emergency procedures,25
1780 Eglinton Ave E,NA,6.2.7.1,"6.2.7.1 Inspection, Testing and Maintenance",25
1780 Eglinton Ave E,NA,6.4.1.2,6.4.1.2 Testing,25
1780 Eglinton Ave E,NA,6.5.3.4,6.5.3.4 Sprinkler heads,25
2240 Lake Shore Blvd W,3,1.1.2.1./6.3.2.2.,1.1.2.1./6.3.2.2. Records of Test (Fire Alarm),7
2240 Lake Shore Blvd W,3,1.1.2.1./6.6.5.6.,1.1.2.1./6.6.5.6. Records of Test (Hydrant Water Flow),7
2240 Lake Shore Blvd W,3,2.2.3.2,2.2.3.2 Maintenance of closures,7
2240 Lake Shore Blvd W,3,2.8.2.1,2.8.2.1 Measures in a fire safety plan,7
2240 Lake Shore Blvd W,3,6.3.1.2,6.3.1.2 Monitoring,7
2240 Lake Shore Blvd W,3,7.3.1.3,7.3.1.3 Maintenance of certain fire emergency systems,7
2240 Lake Shore Blvd W,3,CH 470 - S.6,CH 470 - S.6,7
340 Dixon Rd,1,9.6.5.6,9.6.5.6 Firefighters' elevators,5
45 Grenoble Dr,NA,2.4.1.1,2.4.1.1 Accumulation of combustible materials,8
45 Grenoble Dr,NA,2.7.1.7,2.7.1.7 Maintenance and lighting for exits,8
45 Grenoble Dr,NA,6.2.1.3 (1),6.2.1.3 (1) Location,8
45 Grenoble Dr,NA,6.5.1.2,"6.5.1.2 Repair, replacement, alterations, inspection, testing and maintenance",8
24 Leith Hill Rd,NA,1.1.1.2,"1.1.1.2 Check, inspect and test",18
24 Leith Hill Rd,NA,2.2.2.1,2.2.2.1 Damaged fire separations,18
24 Leith Hill Rd,NA,2.6.1.7,2.6.1.7 Operation of systems,18
88 Sheppard Ave E,NA,2.2.2.1,2.2.2.1 Damaged fire separations,5
88 Sheppard Ave E,NA,2.8.2.1,2.8.2.1 Measures in a fire safety plan,5
88 Sheppard Ave E,NA,6.3.1.4,6.3.1.4 Fire Alarm Maintenance,5
88 Sheppard Ave E,NA,6.5.1.2,"6.5.1.2 Repair, replacement, alterations, inspection, testing and maintenance",5
88 Sheppard Ave E,NA,6.5.2.4,6.5.2.4 Programmed repairs,5
15 Greenview Ave,NA,2.8.2.1,2.8.2.1 Measures in a fire safety plan,26
35 Wynford Heights Cres,NA,2.2.3.2,2.2.3.2 Maintenance of closures,8
35 Wynford Heights Cres,NA,6.2.4.3,6.2.4.3 Distance above floor,8
35 Wynford Heights Cres,NA,6.2.7.2,6.2.7.2 Examination,8
135 Wynford Dr,NA,1.1.2.1./6.3.2.2.,1.1.2.1./6.3.2.2. Records of Test (Fire Alarm),14
135 Wynford Dr,NA,1.1.2.1./6.6.5.6.,1.1.2.1./6.6.5.6. Records of Test (Hydrant Water Flow),14
135 Wynford Dr,NA,2.2.2.1,2.2.2.1 Damaged fire separations,14
135 Wynford Dr,NA,2.2.3.2,2.2.3.2 Maintenance of closures,14
135 Wynford Dr,NA,2.4.1.1,2.4.1.1 Accumulation of combustible materials,14
135 Wynford Dr,NA,2.7.3.2 (1),2.7.3.2 (1) Exit Signs,14
135 Wynford Dr,NA,6.3.1.8,6.3.1.8 Repairs and alterations to fire alarm systems,14
3 Concorde Pl,NA,2.2.2.1,2.2.2.1 Damaged fire separations,6
3 Concorde Pl,NA,2.2.3.2,2.2.3.2 Maintenance of closures,6
3 Concorde Pl,NA,2.7.2.2,"2.7.2.2 Requirements for locking, latching and fastening devices",6
133 Wynford Dr,NA,2.2.3.2,2.2.3.2 Maintenance of closures,12
133 Wynford Dr,NA,2.4.1.1,2.4.1.1 Accumulation of combustible materials,12
133 Wynford Dr,NA,6.2.7.2,6.2.7.2 Examination,12
1 Concorde Pl,NA,2.2.2.1,2.2.2.1 Damaged fire separations,14
1 Concorde Pl,NA,2.2.3.2,2.2.3.2 Maintenance of closures,14
1 Concorde Pl,NA,2.2.3.3,2.2.3.3 Operation of closures,14
1 Concorde Pl,NA,2.7.2.2,"2.7.2.2 Requirements for locking, latching and fastening devices",14
1 Concorde Pl,NA,2.7.3.1,2.7.3.1 Exit signs,14
1 Concorde Pl,NA,6.5.1.5,6.5.1.5 Obstructions,14
1 Concorde Pl,NA,6.5.3.4,6.5.3.4 Sprinkler heads,14
1 Concorde Pl,NA,9.6.4.2,9.6.4.2 Automatic detection,14
400 Adelaide St E,NA,2.8.1.2,2.8.1.2 Instructions in emergency procedures,9
400 Adelaide St E,NA,2.8.2.1,2.8.2.1 Measures in a fire safety plan,9
50 Alexander St,NA,1.1.1.2,"1.1.1.2 Check, inspect and test",22
50 Alexander St,NA,2.2.2.1,2.2.2.1 Damaged fire separations,22
50 Alexander St,NA,2.2.3.2,2.2.3.2 Maintenance of closures,22
50 Alexander St,NA,2.8.2.1,2.8.2.1 Measures in a fire safety plan,22
50 Alexander St,NA,2.8.3.4,2.8.3.4 Records,22
50 Alexander St,NA,6.2.7.2,6.2.7.2 Examination,22
50 Alexander St,NA,6.5.1.2,"6.5.1.2 Repair, replacement, alterations, inspection, testing and maintenance",22
50 Alexander St,NA,6.7.1.1,6.7.1.1 Emergency Power Systems,22
50 Lombard St,NA,1.1.1.2,"1.1.1.2 Check, inspect and test",14
50 Lombard St,NA,1.1.2.1./6.2.7.5.,1.1.2.1./6.2.7.5. Records of Test (Fire Extinguishers),14
50 Lombard St,NA,1.1.2.1./6.3.2.2.,1.1.2.1./6.3.2.2. Records of Test (Fire Alarm),14
50 Lombard St,NA,2.2.2.1,2.2.2.1 Damaged fire separations,14
50 Lombard St,NA,2.2.3.2,2.2.3.2 Maintenance of closures,14
50 Lombard St,NA,2.4.1.1,2.4.1.1 Accumulation of combustible materials,14
50 Lombard St,NA,2.8.3.4,2.8.3.4 Records,14
50 Lombard St,NA,6.2.4.1,6.2.4.1 Where portable extinguishers required,14
50 Lombard St,NA,6.2.4.3,6.2.4.3 Distance above floor,14
50 Lombard St,NA,6.5.1.5,6.5.1.5 Obstructions,14
437 Jarvis St,NA,1.1.2.1./2.7.3.3.(3),1.1.2.1./2.7.3.3.(3) Records of Test (Emergency Lighting),27
437 Jarvis St,NA,1.1.2.1./6.2.7.5.,1.1.2.1./6.2.7.5. Records of Test (Fire Extinguishers),27
437 Jarvis St,NA,1.1.2.1./6.3.2.2.,1.1.2.1./6.3.2.2. Records of Test (Fire Alarm),27
437 Jarvis St,NA,1.1.2.1./6.3.3.8.,1.1.2.1./6.3.3.8. - Records of Test (Smoke Alarms),27
437 Jarvis St,NA,1.1.2.1./6.4.3.2.,1.1.2.1./6.4.3.2. Records of Test (Standpipe - Hydrostatic),27
437 Jarvis St,NA,1.1.2.1./6.4.3.3.,1.1.2.1./6.4.3.3. Records of Test (Standpipe - FD Connection),27
437 Jarvis St,NA,1.1.2.1./6.5.5.3.,1.1.2.1./6.5.5.3. Records of Test (Water Flow Test),27
437 Jarvis St,NA,1.1.2.1./6.5.5.5.,1.1.2.1./6.5.5.5. Records of Test (Water Supply Pressure Test),27
437 Jarvis St,NA,1.1.2.1./6.6.3.5.,1.1.2.1./6.6.3.5. Records of Test (Fire Pump),27
437 Jarvis St,NA,1.1.2.1./6.7.1.1.,1.1.2.1./6.7.1.1. Records of Test (Emergency Power Systems),27
437 Jarvis St,NA,1.1.2.1./7.2.2.1.,1.1.2.1./7.2.2.1. Records of Test (Elevator),27
437 Jarvis St,NA,2.2.2.1,2.2.2.1 Damaged fire separations,27
437 Jarvis St,NA,2.2.3.1,2.2.3.1 Damaged closures,27
437 Jarvis St,NA,2.2.3.2,2.2.3.2 Maintenance of closures,27
437 Jarvis St,NA,2.4.1.1,2.4.1.1 Accumulation of combustible materials,27
437 Jarvis St,NA,2.7.2.2,"2.7.2.2 Requirements for locking, latching and fastening devices",27
437 Jarvis St,NA,2.7.3.2 (1),2.7.3.2 (1) Exit Signs,27
437 Jarvis St,NA,9.6.2.5,9.6.2.5 Fire separations between dwelling units and corridors,27
437 Jarvis St,NA,9.6.2.6,9.6.2.6 Protection of openings in fire separations,27
437 Jarvis St,NA,9.6.3.6,9.6.3.6 Exit signs,27
38 Elm St,NA,6.3.1.4,6.3.1.4 Fire Alarm Maintenance,3
761 Bay St,NA,6.3.1.4,6.3.1.4 Fire Alarm Maintenance,12
195 Wynford Dr,NA,1.1.2.1,1.1.2.1 Records to be prepared,15
195 Wynford Dr,NA,2.2.2.1,2.2.2.1 Damaged fire separations,15
195 Wynford Dr,NA,2.2.3.2,2.2.3.2 Maintenance of closures,15
195 Wynford Dr,NA,2.4.1.1,2.4.1.1 Accumulation of combustible materials,15
195 Wynford Dr,NA,2.7.1.7,2.7.1.7 Maintenance and lighting for exits,15
195 Wynford Dr,NA,2.8.3.4,2.8.3.4 Records,15
195 Wynford Dr,NA,6.3.1.2,6.3.1.2 Monitoring,15
195 Wynford Dr,NA,6.3.1.4,6.3.1.4 Fire Alarm Maintenance,15
195 Wynford Dr,NA,6.4.3.7,6.4.3.7. Fire Department Connections,15
195 Wynford Dr,NA,6.5.1.5 (1),6.5.1.5 (1) Obstructions,15
2468 Eglinton Ave W,5,2.2.3.2,2.2.3.2 Maintenance of closures,10
2468 Eglinton Ave W,5,2.4.1.1,2.4.1.1 Accumulation of combustible materials,10
2468 Eglinton Ave W,5,6.2.1.2,6.2.1.2 Maintenance,10
2468 Eglinton Ave W,5,6.4.3.7,6.4.3.7. Fire Department Connections,10
152 St Patrick St,NA,6.3.1.4,6.3.1.4 Fire Alarm Maintenance,11
1500 Keele St,5,2.2.3.2,2.2.3.2 Maintenance of closures,7
1500 Keele St,5,2.8.2.1,2.8.2.1 Measures in a fire safety plan,7
1500 Keele St,5,9.6.3.6,9.6.3.6 Exit signs,7
2480 Eglinton Ave W,5,1.1.2.1./2.7.3.3.(3),1.1.2.1./2.7.3.3.(3) Records of Test (Emergency Lighting),15
2480 Eglinton Ave W,5,1.1.2.1./6.2.7.5.,1.1.2.1./6.2.7.5. Records of Test (Fire Extinguishers),15
2480 Eglinton Ave W,5,1.1.2.1./6.3.2.2.,1.1.2.1./6.3.2.2. Records of Test (Fire Alarm),15
2480 Eglinton Ave W,5,1.1.2.1./6.3.3.8.,1.1.2.1./6.3.3.8. - Records of Test (Smoke Alarms),15
2480 Eglinton Ave W,5,1.1.2.1./6.4.3.2.,1.1.2.1./6.4.3.2. Records of Test (Standpipe - Hydrostatic),15
2480 Eglinton Ave W,5,1.1.2.1./6.5.5.3.,1.1.2.1./6.5.5.3. Records of Test (Water Flow Test),15
